,Date,Arrondissement,Valeur
123,2021-04-01,Gomparou,39.16373295284575
124,2021-05-01,Gomparou,36.46388378091767
125,2021-06-01,Gomparou,33.76075404780523
126,2021-07-01,Gomparou,31.118647793962136
127,2021-08-01,Gomparou,29.990180880140457
128,2021-09-01,Gomparou,31.017301355967202
129,2021-10-01,Gomparou,34.310362921375194
130,2021-11-01,Gomparou,36.30924489679577
131,2021-12-01,Gomparou,34.9111619201351
132,2022-01-01,Gomparou,34.325810154291645
133,2022-02-01,Gomparou,37.03310626945583
134,2022-03-01,Gomparou,39.48504140065635
135,2022-04-01,Gomparou,39.05951105538447
136,2022-05-01,Gomparou,36.53890539185197
137,2022-06-01,Gomparou,33.72308873473613
138,2022-07-01,Gomparou,31.186040006063294
139,2022-08-01,Gomparou,29.92538709011503
140,2022-09-01,Gomparou,31.00188280656226
141,2022-10-01,Gomparou,34.31123810231047
142,2022-11-01,Gomparou,36.45746923491902
143,2022-12-01,Gomparou,34.64946998935352
144,2019-01-01,Goumori,34.47840040448162
145,2019-02-01,Goumori,36.87044899277447
146,2019-03-01,Goumori,39.34009651232828
147,2019-04-01,Goumori,38.600057592370085
148,2019-05-01,Goumori,36.11223739889474
149,2019-06-01,Goumori,33.1246426263836
150,2019-07-01,Goumori,30.877239450460134
151,2019-08-01,Goumori,29.550173177936763
152,2019-09-01,Goumori,30.768743560791453
153,2019-10-01,Goumori,33.82444638731067
154,2019-11-01,Goumori,36.304691806727696
155,2019-12-01,Goumori,34.330497251801496
156,2020-01-01,Goumori,34.60115594141946
157,2020-02-01,Goumori,36.76263835827403
158,2020-03-01,Goumori,38.92500979217234
159,2020-04-01,Goumori,38.89963052918615
160,2020-05-01,Goumori,35.870333224262886
161,2020-06-01,Goumori,33.21129909089824
162,2020-07-01,Goumori,30.68519467454986
163,2020-08-01,Goumori,29.7365245352484
164,2020-09-01,Goumori,30.79586799361916
165,2020-10-01,Goumori,33.82187455814632
166,2020-11-01,Goumori,35.835133166959686
167,2020-12-01,Goumori,35.107826873175014
168,2021-01-01,Goumori,34.23368201936691
169,2021-02-01,Goumori,37.08089925166153
170,2021-03-01,Goumori,39.0619337146032
171,2021-04-01,Goumori,38.79889426082492
172,2021-05-01,Goumori,35.94803752257483
173,2021-06-01,Goumori,33.17995523001908
174,2021-07-01,Goumori,30.746710364822523
175,2021-08-01,Goumori,29.6717056953801
176,2021-09-01,Goumori,30.78260562365979
177,2021-10-01,Goumori,33.81911094338035
178,2021-11-01,Goumori,35.9931127931283
179,2021-12-01,Goumori,34.846551273825334
180,2022-01-01,Goumori,34.35082065694292
181,2022-02-01,Goumori,36.971477592777255
182,2022-03-01,Goumori,39.19780458109262
183,2022-04-01,Goumori,38.6964751618696
184,2022-05-01,Goumori,36.02614444045362
185,2022-06-01,Goumori,33.148522161034876
186,2022-07-01,Goumori,30.80819811989321
187,2022-08-01,Goumori,29.60703417078094
188,2022-09-01,Goumori,30.771030997477915
189,2022-10-01,Goumori,33.81745822269788
190,2022-11-01,Goumori,36.14713891568674
191,2022-12-01,Goumori,34.584824328142666
192,2019-01-01,Kokey,34.42712166320022
193,2019-02-01,Kokey,36.794851190006824
194,2019-03-01,Kokey,39.223384984075224
195,2019-04-01,Kokey,38.468718574400526
196,2019-05-01,Kokey,36.02081273946447
197,2019-06-01,Kokey,33.004258101188164
198,2019-07-01,Kokey,30.793507005921587
199,2019-08-01,Kokey,29.465557337813678
200,2019-09-01,Kokey,30.647593809677563
201,2019-10-01,Kokey,33.68886882009126
202,2019-11-01,Kokey,36.21117435106657
203,2019-12-01,Kokey,34.233835998716714
204,2020-01-01,Kokey,34.56042126708811
205,2020-02-01,Kokey,36.69828288506542
206,2020-03-01,Kokey,38.832557069593676
207,2020-04-01,Kokey,38.79760920134348
208,2020-05-01,Kokey,35.77617430842898
209,2020-06-01,Kokey,33.08277173042843
210,2020-07-01,Kokey,30.57840341850282
211,2020-08-01,Kokey,29.659230715879314
212,2020-09-01,Kokey,30.669967672266786
213,2020-10-01,Kokey,33.70987003583178
214,2020-11-01,Kokey,35.737090180918834
215,2020-12-01,Kokey,35.036474754493824
216,2021-01-01,Kokey,34.1642001373666
217,2021-02-01,Kokey,36.98437094949081
218,2021-03-01,Kokey,38.96240765268054
219,2021-04-01,Kokey,38.68773879302105
220,2021-05-01,Kokey,35.85528289482816
221,2021-06-01,Kokey,33.05470264085398
222,2021-07-01,Kokey,30.64841677739477
223,2021-08-01,Kokey,29.592868762878602
224,2021-09-01,Kokey,30.659146769775496
225,2021-10-01,Kokey,33.699991192689545
