,Date,Arrondissement,Valeur
102,2019-07-01,Founougo,22.927419823350913
103,2019-08-01,Founougo,22.437913619939255
104,2019-09-01,Founougo,22.413486750787786
105,2019-10-01,Founougo,23.04289188623126
106,2019-11-01,Founougo,19.903301325500546
107,2019-12-01,Founougo,17.222557927682473
108,2020-01-01,Founougo,17.877345872212743
109,2020-02-01,Founougo,20.6293684136677
110,2020-03-01,Founougo,24.251129017654637
111,2020-04-01,Founougo,26.69566631836536
112,2020-05-01,Founougo,25.85015752045117
113,2020-06-01,Founougo,24.041343564499773
114,2020-07-01,Founougo,22.922638143180972
115,2020-08-01,Founougo,22.55235172043946
116,2020-09-01,Founougo,22.59924025102655
117,2020-10-01,Founougo,22.622915973006073
118,2020-11-01,Founougo,19.8067981148871
119,2020-12-01,Founougo,17.96331088434212
120,2021-01-01,Founougo,17.349111665888316
121,2021-02-01,Founougo,21.058042054122183
122,2021-03-01,Founougo,24.393148204293436
123,2021-04-01,Founougo,26.622792791778974
124,2021-05-01,Founougo,25.893271913253322
125,2021-06-01,Founougo,24.11125398806228
126,2021-07-01,Founougo,22.970258659598578
127,2021-08-01,Founougo,22.559886772691552
128,2021-09-01,Founougo,22.580659407532977
129,2021-10-01,Founougo,22.808891570098737
130,2021-11-01,Founougo,19.888919723490176
131,2021-12-01,Founougo,17.75983001204645
132,2022-01-01,Founougo,17.567987234802985
133,2022-02-01,Founougo,20.96095081591343
134,2022-03-01,Founougo,24.534197805148814
135,2022-04-01,Founougo,26.54787481443564
136,2022-05-01,Founougo,25.937548709791557
137,2022-06-01,Founougo,24.181588007135524
138,2022-07-01,Founougo,23.017387960629996
139,2022-08-01,Founougo,22.56726140206484
140,2022-09-01,Founougo,22.56426814573058
141,2022-10-01,Founougo,22.994469193010506
142,2022-11-01,Founougo,19.96662062113075
143,2022-12-01,Founougo,17.558368841926654
144,2019-01-01,Gomparou,18.032820875794684
145,2019-02-01,Gomparou,20.93784440799286
146,2019-03-01,Gomparou,24.54588629616724
147,2019-04-01,Gomparou,26.15815581594881
148,2019-05-01,Gomparou,25.568912368051457
149,2019-06-01,Gomparou,23.850962465124205
150,2019-07-01,Gomparou,22.77381385199098
151,2019-08-01,Gomparou,22.30969652756922
152,2019-09-01,Gomparou,22.299987284394216
153,2019-10-01,Gomparou,22.904975487359998
154,2019-11-01,Gomparou,19.941440853600664
155,2019-12-01,Gomparou,17.50157877170088
156,2020-01-01,Gomparou,18.25778169861538
157,2020-02-01,Gomparou,20.840476522749242
158,2020-03-01,Gomparou,24.24718763596326
159,2020-04-01,Gomparou,26.515867387724434
160,2020-05-01,Gomparou,25.577391973790654
161,2020-06-01,Gomparou,23.7708872194053
162,2020-07-01,Gomparou,22.79689519898691
163,2020-08-01,Gomparou,22.419971591170626
164,2020-09-01,Gomparou,22.480407466687016
165,2020-10-01,Gomparou,22.50262249402552
166,2020-11-01,Gomparou,19.855243033961244
167,2020-12-01,Gomparou,18.230148429539984
168,2021-01-01,Gomparou,17.742087650827855
169,2021-02-01,Gomparou,21.28364243833342
170,2021-03-01,Gomparou,24.398223237607844
171,2021-04-01,Gomparou,26.449224697946047
172,2021-05-01,Gomparou,25.623952025253722
173,2021-06-01,Gomparou,23.847798409966007
174,2021-07-01,Gomparou,22.840274954661798
175,2021-08-01,Gomparou,22.433800131028203
176,2021-09-01,Gomparou,22.468689412812925
177,2021-10-01,Gomparou,22.68774650256519
178,2021-11-01,Gomparou,19.938830356657476
179,2021-12-01,Gomparou,18.03582076606763
180,2022-01-01,Gomparou,17.961997926653222
181,2022-02-01,Gomparou,21.186699737609032
182,2022-03-01,Gomparou,24.548387241778958
183,2022-04-01,Gomparou,26.380519447423502
184,2022-05-01,Gomparou,25.671677808876087
185,2022-06-01,Gomparou,23.92505887430996
186,2022-07-01,Gomparou,22.883140145866616
187,2022-08-01,Gomparou,22.447588917247476
188,2022-09-01,Gomparou,22.45910279703042
189,2022-10-01,Gomparou,22.87247444645819
190,2022-11-01,Gomparou,20.018122177036012
191,2022-12-01,Gomparou,17.843448954309785
192,2019-01-01,Goumori,18.01789618256805
193,2019-02-01,Goumori,20.892726583133115
194,2019-03-01,Goumori,24.33839238872646
195,2019-04-01,Goumori,25.915687014615273
196,2019-05-01,Goumori,25.371130011552204
197,2019-06-01,Goumori,23.645118782197677
198,2019-07-01,Goumori,22.609187885321894
199,2019-08-01,Goumori,22.11312996317125
200,2019-09-01,Goumori,22.20413753309982
201,2019-10-01,Goumori,22.78002088794609
202,2019-11-01,Goumori,19.909350675945948
203,2019-12-01,Goumori,17.56286680969084
204,2020-01-01,Goumori,18.252910005265566
205,2020-02-01,Goumori,20.799839000295226
206,2020-03-01,Goumori,24.042122052138087
207,2020-04-01,Goumori,26.29397923367441
208,2020-05-01,Goumori,25.385907241315113
209,2020-06-01,Goumori,23.53599867270438
210,2020-07-01,Goumori,22.66385411243668
211,2020-08-01,Goumori,22.22675987589602
212,2020-09-01,Goumori,22.37500740940344
213,2020-10-01,Goumori,22.385832867502273
214,2020-11-01,Goumori,19.85014855237549
215,2020-12-01,Goumori,18.289357536205614
216,2021-01-01,Goumori,17.72350407204498
217,2021-02-01,Goumori,21.245641464476602
218,2021-03-01,Goumori,24.197886352768514
219,2021-04-01,Goumori,26.225926847814755
220,2021-05-01,Goumori,25.435658143690816
221,2021-06-01,Goumori,23.628125385391197
222,2021-07-01,Goumori,22.702324716041055
223,2021-08-01,Goumori,22.24479886947523
224,2021-09-01,Goumori,22.371992472382303
225,2021-10-01,Goumori,22.57383816413482
226,2021-11-01,Goumori,19.93017742429631
227,2021-12-01,Goumori,18.101052490871236
228,2022-01-01,Goumori,17.953463219819074
229,2022-02-01,Goumori,21.153423274949237
230,2022-03-01,Goumori,24.3527215571959
231,2022-04-01,Goumori,26.155840650756023
232,2022-05-01,Goumori,25.486766480785853
233,2022-06-01,Goumori,23.72055254030266
234,2022-07-01,Goumori,22.740140645973888
235,2022-08-01,Goumori,22.262950718135055
236,2022-09-01,Goumori,22.37107251874757
237,2022-10-01,Goumori,22.761325233318402
238,2022-11-01,Goumori,20.00594960911847
239,2022-12-01,Goumori,17.914855907779266
240,2019-01-01,Kokey,18.056470854360896
241,2019-02-01,Kokey,20.9103956957156
242,2019-03-01,Kokey,24.29956843577663
243,2019-04-01,Kokey,25.871621273300025
244,2019-05-01,Kokey,25.280236619210825
245,2019-06-01,Kokey,23.582308086241152
246,2019-07-01,Kokey,22.550483705671375
247,2019-08-01,Kokey,22.027880875364914
248,2019-09-01,Kokey,22.120336980089853
249,2019-10-01,Kokey,22.73222202059933
250,2019-11-01,Kokey,19.95489438223583
251,2019-12-01,Kokey,17.618784853246478
252,2020-01-01,Kokey,18.300194486333314
253,2020-02-01,Kokey,20.820951738558435
254,2020-03-01,Kokey,24.00540157362092
255,2020-04-01,Kokey,26.263977876208116
256,2020-05-01,Kokey,25.297102527280373
257,2020-06-01,Kokey,23.464611405851297
258,2020-07-01,Kokey,22.60958557830743
259,2020-08-01,Kokey,22.145895334946108
260,2020-09-01,Kokey,22.294261043023763
261,2020-10-01,Kokey,22.33653187518663
262,2020-11-01,Kokey,19.903284301557523
263,2020-12-01,Kokey,18.362792256236997
264,2021-01-01,Kokey,17.754250633978184
265,2021-02-01,Kokey,21.26551108090264
266,2021-03-01,Kokey,24.1636430749671
267,2021-04-01,Kokey,26.19435126270065
268,2021-05-01,Kokey,25.34914307735744
269,2021-06-01,Kokey,23.56269180758578
270,2021-07-01,Kokey,22.649746609185815
271,2021-08-01,Kokey,22.16558105507814
272,2021-09-01,Kokey,22.293311392904766
273,2021-10-01,Kokey,22.528167001295493
274,2021-11-01,Kokey,19.98396938981778
275,2021-12-01,Kokey,18.171651572404436
276,2022-01-01,Kokey,17.99273696847165
277,2022-02-01,Kokey,21.176890784052375
278,2022-03-01,Kokey,24.320883524766195
279,2022-04-01,Kokey,26.122682101952066
280,2022-05-01,Kokey,25.402661997221248
281,2022-06-01,Kokey,23.6610861121444
282,2022-07-01,Kokey,22.68919084161602
283,2022-08-01,Kokey,22.185377905100253
284,2022-09-01,Kokey,22.29448026782185
285,2022-10-01,Kokey,22.719262172893515
286,2022-11-01,Kokey,20.060316976041104
287,2022-12-01,Kokey,17.98272142072203
288,2019-01-01,Kokiborou,18.01789618256805
289,2019-02-01,Kokiborou,20.892726583133115
290,2019-03-01,Kokiborou,24.33839238872646
291,2019-04-01,Kokiborou,25.915687014615273
292,2019-05-01,Kokiborou,25.371130011552204
293,2019-06-01,Kokiborou,23.645118782197677
294,2019-07-01,Kokiborou,22.609187885321894
295,2019-08-01,Kokiborou,22.11312996317125
296,2019-09-01,Kokiborou,22.20413753309982
297,2019-10-01,Kokiborou,22.78002088794609
298,2019-11-01,Kokiborou,19.909350675945948
299,2019-12-01,Kokiborou,17.56286680969084
300,2020-01-01,Kokiborou,18.252910005265566
301,2020-02-01,Kokiborou,20.799839000295226
302,2020-03-01,Kokiborou,24.042122052138087
303,2020-04-01,Kokiborou,26.29397923367441
304,2020-05-01,Kokiborou,25.385907241315113
305,2020-06-01,Kokiborou,23.53599867270438
306,2020-07-01,Kokiborou,22.66385411243668
307,2020-08-01,Kokiborou,22.22675987589602
308,2020-09-01,Kokiborou,22.37500740940344
309,2020-10-01,Kokiborou,22.385832867502273
310,2020-11-01,Kokiborou,19.85014855237549
311,2020-12-01,Kokiborou,18.289357536205614
312,2021-01-01,Kokiborou,17.72350407204498
313,2021-02-01,Kokiborou,21.245641464476602
314,2021-03-01,Kokiborou,24.197886352768514
315,2021-04-01,Kokiborou,26.225926847814755
316,2021-05-01,Kokiborou,25.435658143690816
317,2021-06-01,Kokiborou,23.628125385391197
318,2021-07-01,Kokiborou,22.702324716041055
319,2021-08-01,Kokiborou,22.24479886947523
320,2021-09-01,Kokiborou,22.371992472382303
321,2021-10-01,Kokiborou,22.57383816413482
322,2021-11-01,Kokiborou,19.93017742429631
323,2021-12-01,Kokiborou,18.101052490871236
324,2022-01-01,Kokiborou,17.953463219819074
325,2022-02-01,Kokiborou,21.153423274949237
326,2022-03-01,Kokiborou,24.3527215571959
327,2022-04-01,Kokiborou,26.155840650756023
328,2022-05-01,Kokiborou,25.486766480785853
329,2022-06-01,Kokiborou,23.72055254030266
330,2022-07-01,Kokiborou,22.740140645973888
331,2022-08-01,Kokiborou,22.262950718135055
332,2022-09-01,Kokiborou,22.37107251874757
333,2022-10-01,Kokiborou,22.761325233318402
334,2022-11-01,Kokiborou,20.00594960911847
