Adjarra 2,Bénin,"Adjarra II,Bénin",6.5233156,2.6636066,5.99543,91.97821,199.13564,71.85759,48.21235,166.05968,392.25070,183.71304,170.38263,57.78173,34.36963,23.85998,30.28309,61.95628,156.01144,180.22104,61.50893,255.37245,380.86395,243.46053,90.27998,88.06259,30.65828,6.27235,26.44609,78.00265,209.09744,183.29874,79.52625,228.58295,332.67444,267.30081,95.97112,70.11953,21.24281,1.02812,0.79770,76.86198,160.19362,194.75334,46.23008,93.79348,245.66650,278.01221,83.65785,78.65239,12.25736,34.02926,5.69375,49.80672,126.77399,103.76331,51.49495,130.29016,265.22516,199.31589,75.76289,154.03697,41.32621,2.34442,3.35683,57.10159,244.76468,233.47966,57.02117,152.49907,228.77974,260.80917,122.74209,27.07382,24.96965,41.44508,9.08882,95.14488,228.10527,197.54361,77.94320,115.21796,319.87823,131.11598,174.30719,39.26723,33.80447,54.78773,1.57765,42.81883,244.65175,70.65874,64.26894,157.50801,416.47305,132.96423,132.92459,80.57877,4.36973,48.15302,3.52119,15.66001,67.87984,155.97113,27.10605,63.59230,267.89084,205.35896,146.27879,40.12228,5.20516,14.27913,4.48333,18.01421,132.93169,166.32628,66.67619,127.17536,255.63570,138.73869,106.25010,71.81753,4.61152,4.89741
Adjido,Bénin,"Adjido,Bénin",6.924,1.767,9.54984,57.17585,124.11703,71.51247,72.96911,141.03683,213.08029,143.89023,173.61656,57.87502,36.02057,7.41306,27.99981,40.49042,113.69202,170.46320,84.99738,191.44568,207.74046,191.66003,108.73536,88.36771,29.44479,2.51874,23.01366,43.91423,146.27756,180.22522,114.23579,170.75629,176.02553,205.85757,106.14098,72.08489,22.87543,0.78516,1.12703,40.03239,121.63471,179.53329,61.58234,70.30518,131.27161,220.97911,77.67622,73.01661,15.60048,10.99200,6.83488,30.39622,104.10986,98.10939,67.47074,99.53543,154.47484,152.65959,76.68609,154.61897,40.77063,0.94381,3.01749,32.64037,170.66676,215.45668,72.60656,114.61097,126.30052,195.32327,115.43390,26.84491,23.55439,14.72410,8.20874,52.30897,162.92177,189.32004,101.54863,85.86687,183.67030,110.47892,167.57878,40.87743,32.59587,18.52623,1.99633,24.64746,168.72380,74.60017,87.31726,113.79201,226.88380,117.84772,135.56378,84.50988,7.97482,14.81004,3.35164,8.75142,48.76259,155.96364,39.26766,53.83956,149.33707,160.35860,142.43559,38.77284,4.64045,8.01760,3.97887,8.98138,99.03419,153.85010,86.72614,102.02767,128.17358,115.14359,106.12845,93.62714,4.48539,2.61991
Adjintimey,Bénin,"Adjintimey,Bénin",6.8331,1.6794,12.26018,56.45422,119.42645,66.90434,62.42461,134.87738,212.40610,153.02226,172.98238,57.99604,36.64133,7.85080,33.22535,46.26661,113.86723,165.73575,72.67307,181.50937,202.66612,202.96510,113.47769,89.96989,29.86787,2.68244,29.22279,47.96846,146.76744,176.54337,98.88806,164.85057,173.99213,215.34782,106.91480,73.47327,22.26530,0.77657,1.31850,42.76745,121.50156,174.71049,51.38969,66.52194,130.66502,237.41823,76.97998,74.42377,14.71488,11.50104,9.20139,34.76268,105.95623,95.56750,57.40700,91.11665,153.42218,164.90134,76.04014,157.03650,40.24952,0.96256,3.97606,34.74477,174.30696,213.48601,61.47274,105.94751,123.21186,205.94618,112.60566,27.42480,24.31328,15.08519,10.79039,55.69427,163.50647,182.29665,85.07461,80.01744,182.62210,116.48260,168.28976,41.71592,32.14158,19.25595,2.49984,27.42781,169.35022,70.60039,72.78997,107.71868,229.28435,126.65765,139.99570,83.01582,8.92585,15.70050,4.22267,9.65409,49.34165,151.54372,31.90949,50.40682,147.16589,170.12651,146.46609,40.03232,4.51953,8.32283,4.99680,9.97496,97.92709,149.54295,73.95615,94.57155,126.07160,122.69955,106.06939,93.69045,4.42981,2.64773
Adjohoun,Bénin,"Adjohoun,Bénin",6.7002663,2.4999918,5.54894,75.53508,156.08502,67.17429,53.46439,156.27884,337.17545,159.67203,168.47415,53.29148,31.06880,15.67789,24.69650,48.05735,125.96922,166.32721,66.28668,233.49400,329.36795,215.24797,89.29424,82.50433,27.32082,4.76560,22.07423,59.71056,170.11359,167.79797,86.04421,208.71782,286.98703,231.83833,94.56443,65.40904,19.97008,1.01405,0.87041,58.94657,130.11343,178.16637,49.49047,87.66273,211.48102,240.00447,80.48405,71.71455,12.32989,23.33222,4.75158,38.08867,103.41313,94.42340,56.26926,121.64330,229.86333,175.32861,73.96234,142.79320,37.52107,1.75070,2.79097,44.96074,191.70744,215.76300,60.72127,141.06580,196.89961,227.00328,119.75860,25.04402,22.34554,28.79305,7.02929,74.12701,185.30736,179.87892,86.32655,103.39351,276.47293,113.82546,168.20763,36.11978,31.22979,38.47184,1.52070,32.73133,196.01331,67.18108,69.86507,141.73036,355.17505,116.19484,128.99724,74.45355,4.23674,32.66850,3.09903,11.99214,53.93397,142.89615,29.71753,60.39476,230.42097,179.55653,141.01535,36.09209,4.79030,11.39375,3.66794,13.56577,107.19728,151.95045,71.92632,120.35556,213.94022,122.11861,104.14272,70.59505,4.31182,3.91742
Adogbe,Bénin,"Adogbé,Bénin",6.3568273,2.4010974,9.02796,84.40107,163.26895,60.39807,46.88537,163.94815,401.87253,178.80768,174.36589,52.79113,34.13155,20.69192,33.01369,73.92293,139.50555,158.71051,58.17468,247.63057,373.58649,230.83412,103.06727,84.51144,29.86840,5.62206,31.00604,79.60349,186.46732,164.31561,79.86246,226.48981,330.83737,253.43983,93.65868,69.24711,19.76278,0.74471,0.73190,73.37750,144.98512,171.99307,41.89615,88.54414,248.37621,278.96454,79.49043,73.57699,10.60037,28.73042,8.39582,56.51270,119.45135,89.61442,49.11470,121.51508,272.73929,195.70801,72.61776,147.99307,39.13369,1.38757,3.57311,56.70761,224.84131,209.72112,52.47409,137.63535,227.54845,254.69687,114.34423,24.82709,24.58147,35.99080,11.85345,91.94058,203.14325,172.10432,72.06185,106.82639,326.52887,124.35539,174.05006,38.17078,31.81736,47.45273,1.94761,45.79014,216.63521,60.34843,59.55505,151.11919,441.11957,136.54510,137.36601,73.20721,6.67288,45.47566,4.01111,16.39546,61.88343,139.48198,23.73255,61.96898,267.44086,198.77773,151.40506,38.99700,4.51761,12.99941,5.44532,17.49238,117.28172,146.84067,62.56369,120.82729,255.43127,135.67453,104.69036,74.90999,4.44032,4.32891
Adohoun,Bénin,"Adohoun,Bénin",6.660751,1.6562271,15.96463,55.44547,110.61049,59.07731,50.05352,130.41971,219.84799,165.86313,173.30791,55.73733,32.02215,6.48615,39.88527,52.44522,109.14416,152.68942,58.81860,175.36433,204.62958,217.91444,117.82623,88.18333,26.21582,2.20381,37.48096,52.03941,141.51443,163.53816,81.25684,162.02980,178.04150,229.97035,106.77213,72.43623,18.60433,0.57906,1.54559,45.16683,116.62484,161.07991,40.73622,64.04856,134.87271,260.40808,76.24524,72.89924,11.82279,9.20464,12.64813,39.34179,103.05513,87.66229,46.54626,85.13667,157.38162,181.67999,75.19224,153.47495,34.38707,0.75410,5.25331,36.77032,170.26808,199.88307,49.62640,99.57641,124.66607,223.81531,109.95094,26.79198,21.64783,12.03897,14.36557,58.82094,157.21547,165.95274,68.02955,75.74502,187.74570,125.13390,170.14697,40.66930,27.46016,15.51386,3.17139,30.16972,162.73355,62.91473,57.86671,104.62623,241.40471,138.69246,144.07416,78.32741,8.51376,13.16409,5.37324,10.69002,47.90930,139.22859,24.53154,47.67438,149.99669,184.22975,150.66545,39.85137,3.85768,6.49707,6.47190,10.95385,92.54299,138.02380,60.06475,89.22779,129.20166,133.07758,105.63928,89.93378,3.80041,2.05320
Adoukandji,Bénin,"Adoukandji,Bénin",6.9263,1.8879,8.16585,58.08574,127.29080,69.85659,70.66518,139.80403,221.50102,138.88264,171.05110,55.72087,34.53497,7.30847,25.66341,38.89140,113.15699,165.15649,83.07224,193.06366,217.25459,185.59959,102.16584,85.24226,28.63159,2.47479,21.21337,43.76216,147.02066,173.39665,110.71021,171.69135,184.46346,200.27490,102.06796,68.98626,22.21852,0.75801,1.05725,40.74270,120.36783,175.02519,60.89283,71.20709,137.17188,212.26961,77.04558,71.14413,15.14000,10.98376,5.93922,29.47853,101.16897,95.01969,66.89074,101.09779,158.85957,148.01846,74.95440,148.67561,39.73720,0.92088,2.81435,32.85805,169.19557,209.56554,72.07244,116.56931,131.33559,190.51889,115.01665,25.92930,22.94129,14.52697,7.34741,52.87698,162.85501,183.07277,101.53017,86.70473,189.44434,105.37204,164.59532,38.85361,32.14916,18.47700,1.81840,24.25836,169.31572,72.00055,86.34761,115.45013,235.15749,111.25035,131.20473,80.99292,6.94189,14.86680,3.10602,8.77038,48.29876,149.78920,38.53748,54.03419,154.96165,155.34505,138.78221,37.04017,4.66566,7.61582,3.67272,9.05299,98.17794,149.90251,85.62041,103.34182,134.57310,110.29831,104.07931,87.75623,4.42044,2.52517
Affame,Bénin,"Affamè,Bénin",6.8224,2.4728,5.51214,76.90150,156.97862,72.63256,59.39434,155.86804,308.53946,153.21437,170.01338,53.43528,30.78523,13.64844,25.07589,44.40530,124.95347,174.83675,73.61720,231.73569,305.82626,207.98366,88.27646,81.57864,27.12463,4.28193,21.53564,57.37836,168.45113,175.88049,94.11646,204.98093,264.09204,224.71956,97.23389,64.25008,20.53038,1.02428,0.97167,57.38877,129.43147,186.54559,55.49431,87.66224,193.93330,228.59378,82.16438,70.83727,13.23962,20.83269,4.47383,35.32531,102.11776,99.43803,62.10334,122.98429,211.11517,167.21265,75.80815,141.19067,37.62111,1.70421,2.84576,43.89104,186.80408,224.32359,67.39917,143.20955,182.16956,217.31525,123.59988,25.06579,21.99381,25.97233,6.63173,72.61517,183.77884,189.48596,96.41343,103.75970,254.48344,110.62209,169.95905,35.68450,31.51117,34.59093,1.56634,30.85435,193.53250,72.43055,78.45429,140.89281,321.84854,111.16814,129.10072,75.37727,3.82730,28.46400,3.10243,11.51282,52.94957,150.46782,34.06089,60.67306,212.75157,172.90930,140.67163,35.16591,4.90365,10.72790,3.60434,12.91401,107.12602,159.14365,79.47659,122.31696,196.15778,117.84981,106.17842,71.11034,4.32633,3.71894
Agame,Bénin,"Agamé,Bénin",6.7275,1.7668,14.09050,54.97484,117.46564,62.48309,55.22592,134.33595,223.51003,159.39223,173.36285,56.95156,33.49891,6.41948,38.54952,46.58539,111.95438,158.58563,64.48325,183.54408,210.66853,212.10562,113.24038,89.55720,27.79799,2.19560,35.30297,47.56819,145.38991,167.99974,89.09451,167.64468,182.96964,224.16794,104.42632,73.18176,20.35396,0.61570,1.52882,42.62897,118.34184,168.36513,45.64112,67.01505,137.11630,248.28741,76.96983,74.24395,12.97810,9.34170,10.67210,34.78033,102.90575,90.65764,52.26834,91.08578,159.25371,173.13683,74.54732,156.65688,37.22218,0.74430,4.31680,34.23111,173.10951,206.85762,55.13035,105.39189,129.15700,216.82582,112.49429,26.44139,22.80825,11.79744,12.83672,55.25464,161.61284,173.72012,77.12159,79.78905,189.59999,118.61476,169.26804,41.37251,29.94117,15.45586,2.92810,27.40781,167.19339,66.28979,64.71618,108.31689,241.12579,130.28949,139.98547,80.43276,8.24916,13.09293,5.10086,9.57354,48.68610,143.60420,27.77511,49.99852,152.79863,177.46204,148.06554,39.98458,4.16479,6.31179,6.04791,10.10394,95.51476,143.55507,66.66093,93.92159,132.13794,127.08159,105.44160,91.20242,4.25342,2.04853
Aganmalome,Bénin,"Aganmalomè,Bénin",9.30769,2.315834,0.62035,16.69541,120.79582,175.39372,252.30804,207.42259,159.95316,93.38190,80.01685,25.37462,9.16828,3.79032,2.11408,3.84406,87.94385,230.10674,255.29784,262.88315,188.70645,161.45049,46.36578,24.18018,4.72725,1.21277,0.89524,8.44765,66.62035,234.18004,266.04596,197.79439,163.18729,165.54422,71.97258,23.59220,4.44738,1.01884,0.23666,6.30133,103.04720,247.84190,212.88312,124.17393,108.12891,138.41624,48.26421,18.15412,10.54710,7.14947,0.31922,2.01305,74.39053,159.50856,169.46104,229.62915,155.86067,96.56291,49.22564,45.13126,11.87857,1.01884,0.35344,10.87628,62.07848,214.56819,202.75911,234.71808,138.65720,143.64961,92.06461,8.01461,3.20384,15.10184,0.26033,13.97600,82.15694,270.51740,271.14075,193.23170,179.21138,119.22808,88.65658,26.63836,5.95185,8.72677,0.25380,2.15499,113.30104,156.93475,251.53027,198.83405,159.28627,111.12511,52.25893,35.68944,0.74334,4.86911,0.25629,1.60590,34.76487,222.44334,176.41002,133.95752,135.92238,106.14899,46.75080,7.69077,1.33313,5.46812,0.23666,1.17256,106.43774,194.49374,205.96631,211.16403,139.80696,85.46152,71.85600,24.93644,0.74334,2.80431
